Occupation,weekly_hours,daily_work_hours_consistency,weekly_work_days_consistency,fixed_commute_times,shift_work_status,overtime_exceeds_10hrs,works_on_saturdays,works_on_sundays,satisfaction
6,35.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
4,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
5,54.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
8,54.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
8,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,24.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
4,52.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2,48.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,56.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
4,54.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0
6,42.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
6,45.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
6,35.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
9,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,24.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
2,44.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
3,15.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
8,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,45.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,60.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
3,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
9,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7,54.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
